ID,FINAL_TYPE,KIC,KIC_STATUS,NEW DETECTION,NAME,GAIA_ID,DEMARCHI2007_ID,DEMARCHI2007_VARTYPE,DEMARCHI2007_MEMBER,VARIABILITY_TYPE,MEMBER,CMD,PERIOD,Peph,Q_PHASED,PHASED_LC,FT,COORDINATES,RA,DEC,DIST,P0eph,T0eph,LINK,SOURCEID,FREQUENCY,PMRA,PMRAERR,PMDEC,PMDECERR,PLX,PLXERR,zero_point_plx,GMAG,BP_RP,J_M,H_M,K_M,B,BERR,V,VERR,I,IERR,g,gerr,r,rerr,i,ierr,z,zerr,y,yerr,USED_SPEC,Teff,logg,Rv,Fe/H,proj_ref_astroserver,HECTOSPEC,ESO,LAMOST,SDSS,APOGEE,INT,XT_LINK,XT_Teff,XT_Tefferr,XT_logg,XT_loggerr,XT_Rv,XT_Rverr,[M/H],XT_class,WOCS_LIX,CLASS,RV,RVERR,TEFF,RV_APG,RVSCT_APG,TEFF_APG,T_HYDRA,RV_HYDRA,RV_HYDRA_ER,RV_WIYN,VRAD,VRAD_ER,RV_PROB,P5D-PM-POS-PLX,P4D-PM-POS,P3D-PM-PLX,P5D-NF,P4D-NF,P3D-NF,MEMBER_STATUS,PROB_GAUDIN,P5D-PM-POS-PLX,TYPE_SACHS,POPULATION_STUDY_SACHS,VSTAR_SACHS,SACHS_NOTES,OTHER_ID,REF_SACHS
111,Binary,2708123,nodata,,2MASSJ19210707+3754589,Gaia EDR3 2051296313520692864,V119,EB,m?,contact,field,RGB,0.302184,0.3021845131,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_111.png,https://drive.google.com/file/d/1ePUEoFeEotkvPOScYA1AovZ6k1wpKmCa/view?usp=sharing,https://drive.google.com/file/d/1IfycvNKPm4oC6okpza9wNQsYK4BsOR7e/view?usp=sharing,19:21:07.07 +37:54:59.0,290.2794583,37.91638889,9.37,0.302184513(81),2454964.69239(22),http://aladin.u-strasbg.fr/AladinLite/?target=290.2794583333333%2037.91638888888889,2051296313520692864,3.309242051,-2.102979192,0.086406164,-5.583734068,0.096320145,0.4227030429,0.08044687,-0.027591,17.742155,1.468996,16.014,15.366,15.292,nan,nan,18.331,0.0211,16.876,0.0057,18.7268,0.018152,17.7409,0.006881,17.4058,0.006711,17.1408,0.007351,17.0619,0.01155,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,4425.8066,nan,nan,nan,,,,,,,nan,2.92E-115,3.60E-96,6.65E-113,1.08E-104,4.48E-94,4.88E-103,field,,2.92E-115,EB*betLyr,,,Overlap outerstar |V* |IR |*iC|bL*|*|,,
112,Rotational,2569761,nodata,new detection,Gaia EDR3 2051294831750674944,Gaia EDR3 2051294831750674944,,,,rotating,field,MS,1.992915,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_112.png,https://drive.google.com/file/d/1dhETvFCKZ9uymHGjxO8kLEig3DVVSlzn/view?usp=sharing,https://drive.google.com/file/d/1R3nddn15_Uzh1DHTR4BevCDcsJgRtQSU/view?usp=sharing,19:20:49.63 +37:52:04.1,290.2067917,37.86780556,5.83,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.2067916666667%2037.86780555555556,2051294831750674944,0.501777547,-0.3337398438,0.31547964,-2.903126545,0.40815672,0.3574167255,0.32234642,-0.028221,20.007807,1.5147457,null,null,null,21.688,0.0351,20.464,0.0257,19.106,0.0486,21.0913,0.035828,20.0523,0.021837,19.6535,0.019065,19.4199,0.025894,19.2268,0.034865,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,,,,0.01520255479,0.06143028967,0.01179126207,field,,0,,,,,,
113,Pulsating,2569576,12sc/5lc,,Cl* NGC 6791 KU B3,Gaia EDR3 2051294183216739584,,,,sdB,cluster,EHB,0.05833025896,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_113.png,https://drive.google.com/file/d/1rlsqHx0lKcUXdngnCR_fIA9SELDyYfj-/view?usp=sharing,https://drive.google.com/file/d/165-Ce80jtKbTvrf_E3OXwie0Sq3Ph3Sk/view?usp=sharing,19:20:45.17 +37:49:31.3,290.1882083,37.82536111,3.77,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.1882083333333%2037.825361111111114,2051294183216739584,17.14376068,-0.3260896245,0.07812713,-2.23156191,0.08716003,0.2886085784,0.07512086,0.007531,17.75216,-0.18629837,null,null,null,17.675,0.003,17.728,0.0008,17.908,0.0007,17.6596,0.008297,17.9418,0.002775,18.2446,0.011538,18.4832,0.009504,18.6025,0.039714,HECTOSPEC,23540(210),5.311(35),-28.30(38),,https://astroserver.org/tracking/F668BE.php,https://xtgrid.astroserver.org/DRTUI2_033_F668BE_B3_HECTOSPEC_OPERATOR_81_trim_dat.pdf,ESO,,,,,https://xtgrid.astroserver.org/DRTUI2_033_F668BE_B3_HECTOSPEC_OPERATOR_81_trim_dat.php?ref=F668BE,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,0.998255559,0.9981192653,0.9967391056,0.9743854706,0.9495242694,0.9798625153,cluster,0.7,0.998255559,HotSubdwarf,EHB,V1093 Her,*iC|HB*|HB?|* |HS*,,
114,Rotational,,nokic,,Gaia EDR3 2051295007845559552,Gaia EDR3 2051295007845559552,03859_3,LON,nm,rotating,field,MS,6.081157,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_114.png,https://drive.google.com/file/d/1GM9hguWuoPAKm3C4uuG-USTFrvENL1J2/view?usp=sharing,https://drive.google.com/file/d/1CZxLWJOoh8pZIkXk3TO5P9sfpoGkQr_O/view?usp=sharing,19:20:48.45 +37:53:21.7,290.201875,37.88936111,7.15,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.201875%2037.889361111111114,2051295007845559552,0.1644423915,0.113276299,0.47499722,-2.653428419,0.5712315,-0.1821092704,0.55240774,-0.039559,20.343842,1.7476978,null,null,null,nan,nan,16.231,0.0327,15.19,0.0215,19.8509,0.01153,19.0274,0.012253,18.7326,0.012072,18.5958,0.015291,18.4597,0.015304,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,,,,1.45E-05,0.1514312942,1.24E-05,field,,0,,,,Parallax is negative unknown star near by,,
115,Binary,2569494,1sc/5lc,,V* V517 Lyr,Gaia EDR3 2051294423734919552,V12,EB,96,active eclipsing,cluster,MS/RGB,1.52322924,1.523274714,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_115.png,https://drive.google.com/file/d/1fgh2Qalm6hSyzlRoys3LfB1slHFxR9nd/view?usp=sharing,https://drive.google.com/file/d/1qxw6GD1hmHKVYibBb5RxonPmpFPRiqqD/view?usp=sharing,19:20:42.93 +37:50:56.3,290.178875,37.84897222,5.28,1.5232747(12),2454965.3339(7),http://aladin.u-strasbg.fr/AladinLite/?target=290.178875%2037.848972222222216,2051294423734919552,0.6565000026,-0.2672789437,0.061500635,-2.00041441,0.07458131,0.1758089427,0.06280747,-0.028045,17.288069,1.2088451,15.803,15.458,15.148,18.589,0.0069,17.547,0.0311,16.515,0.0271,17.8933,0.006661,17.2497,0.009953,16.9997,0.009563,16.8665,0.004936,16.741,0.00439,HECTOSPEC,5410(40),3.892(52),-111(2),-0.497(0.261),https://astroserver.org/tracking/MBOG63.php,https://xtgrid.astroserver.org/ER3T0M_301_MBOG63_ID115_085_Operator_77_ms_trim_dat.php?ref=MBOG63,ESO,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,0.9958941036,0.9896331216,0.9915775267,0.9443807579,0.8925218736,0.9516991751,cluster,0.9,0.9958941036,ECB algol,,,,,
116,Pulsating,2569624,nodata,new detection,2MASSJ19204635+3750228,Gaia EDR3 2051294213273828224,,,,solar-like,cluster,RGB,0.347006083,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_116.png,https://drive.google.com/file/d/1ika01EJ5hGkdpoC5Bpan6GWSzj6-LOqk/view?usp=sharing,https://drive.google.com/file/d/13c6KlhO1DsAnA4zK3gdwLA0L4yqjeuec/view?usp=sharing,19:20:46.33 +37:50:23.0,290.1930417,37.83972222,4.41,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.19304166666666%2037.83972222222222,2051294213273828224,2.881793862,-0.440811611,0.01125104,-2.293278222,0.013461135,0.2427265877,0.011341946,-0.018783,12.96537,2.0753202,10.476,9.705,9.468,15.381,0.0027,13.753,0.0029,11.766,0.0043,14.426,0.005462,13.439,nan,12.675,nan,12.145,nan,11.885,nan,APOGEE,3896(62),1.300(45),-44.979(65),0.300(6),,,https://xtgrid.astroserver.org/QPXYR8_332_ZLNV9K_116_ADP_2019-04-26T12_02_06_603_trim_dat.php?ref=ZLNV9K,,,http://skyserver.sdss.org/dr16/en/tools/explore/summary.aspx?apid=2M19204635+3750228,,https://xtgrid.astroserver.org/QPXYR8_332_ZLNV9K_116_ADP_2019-04-26T12_02_06_603_trim_dat.php?ref=ZLNV9K,3960,50,3.673,0.042,-44.56,0.60,-0.324,K0IV,44009,,nan,nan,nan,-45.3405,0.046092,3750,,,,-44.28,-44.28,,1.00,0.9988693761,0.9984175987,0.9979580309,0.9830089859,0.9633111781,0.9854868599,cluster,1,0.9988693761,IR*,ARGBB I - Solarlike,solar-like,,,
117,Rotational,,nokic,,Gaia EDR3 2051294217574157440,Gaia EDR3 2051294217574157440,04293_3,LON,nd1,rotating,cluster,MS,4.915906,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_117.png,https://drive.google.com/file/d/1V7wQsckFSqTki-pYjqNbiLJLx0zWAbWc/view?usp=sharing,https://drive.google.com/file/d/1zs57Y67113Oq1RFItUsnSAnOg82Y-JHU/view?usp=sharing,19:20:45.92 +37:50:18.6,290.1913333,37.8385,4.38,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.1913333333333%2037.8385,2051294217574157440,0.2034213022,-0.7663677762,0.1974104,-2.580488277,0.24569334,0.03459939925,0.20452717,-0.017673,19.300373,1.2958946,null,null,null,19.186,0.4236,18.909,0.1961,18.363,0.0385,19.71,0.025113,19.1,0.037307,18.7931,0.01748,18.591,0.009131,18.2333,0.044689,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,,0.9346375461,,0.2680500535,0.4620860168,0.2007370578,cluster,,0,,,,Systems near a bright star,,
118,Binary,2569880,nodata,new detection,Gaia EDR3 2051294629893394176,Gaia EDR3 2051294629893394176,,,,eclipsing,field,MS,0.2566162734,0.2566162734,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_118.png,https://drive.google.com/file/d/1-oVO_oPt7Mvq-OVgB18nt8vhzUQDPxr0/view?usp=sharing,https://drive.google.com/file/d/1eYjY3vVTDyhd7Q-mmFMMBqpLNdkiAp91/view?usp=sharing,19:20:52.15 +37:51:26.7,290.2172917,37.85741667,5.15, 0.25661627(11),2454964.60382(35),http://aladin.u-strasbg.fr/AladinLite/?target=290.21729166666665%2037.857416666666666,2051294629893394176,3.896868998,-3.326797684,0.078843795,-8.344460093,0.095690444,0.492899674,0.07803353,-0.025376,17.866337,1.215416,16.333,15.909,15.61,19.125,0.0055,18.147,0.0041,17.087,0.0051,18.5304,0.00437,17.8516,0.013548,17.5778,0.002806,17.4752,0.00502,17.3759,0.009677,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,0,0.00E-02,0.00E+00,0,0.00E-02,0,field,,0,,,,multiple harmonics,,
119,Rotational,2569908,nodata,,2MASSJ19205271+3752096,Gaia EDR3 2051294728671468672,03056_3,RO1,nm,rotating,field,MSTO,6.324129,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_119.png,https://drive.google.com/file/d/1W-7U8rj_kXcTJFPkjJVAkrHgjS79MD0f/view?usp=sharing,https://drive.google.com/file/d/117ADQNUmvIPkuwIcdtdgQqBxleZ_k7iu/view?usp=sharing,19:20:52.72 +37:52:09.7,290.2196667,37.86936111,5.86,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.2196666666667%2037.86936111111111,2051294728671468672,0.1581245417,-0.7041826648,0.044688378,-2.621715926,0.052415464,0.4970618902,0.04317129,-0.02666,16.82044,1.1162815,15.434,15.137,14.836,18.681,0.0951,17.545,0.0848,16.507,0.0549,17.4168,0.008298,16.8091,0.005659,16.5711,0.004051,16.4667,0.003682,16.3815,0.003524,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,-48.3965,0.074126,4500,,,,,,,nan,0.01361741371,0.9366205489,0.01046986456,0.04481360117,0.6661888916,0.03957732152,field,,0.01361741371,,,,varying binarity and beating,,
120,Rotational,2570281,12lc,,2MASSJ19210251+3753275,Gaia EDR3 2051296176081696768,,,,rotating,cluster,RGB,14.41846,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_120.png,https://drive.google.com/file/d/1atw9OyWDZDRnN1P2qhxXlThDKUWvcdZv/view?usp=sharing,https://drive.google.com/file/d/1T-xUjf09Xt3dDURzvFHGrbWsB6r5H9Ky/view?usp=sharing,19:21:02.52 +37:53:27.6,290.2605,37.891,7.55,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.2605%2037.891,2051296176081696768,0.0693555345,-0.4503196852,0.017834742,-2.242679669,0.020785019,0.1856258856,0.017240353,-0.029105,14.785437,1.4860859,12.977,12.36,12.163,nan,nan,15.248,0.0235,13.877,0.0042,20.224,0.025926,19.4247,0.025007,19.1079,0.029143,18.9496,0.025321,18.847,0.038854,,,,,,,,,,,,,,,,,,,,,,35015,,nan,nan,nan,nan,nan,nan,,,,-47.1,-47.1,,0.99,0.9984625182,0.9959364549,0.9981637772,0.9895491238,0.9856330669,0.9879006779,cluster,1,0.9984625182,,RGB - RotV*,RotV Spotted,binarity with varying phase,,
121,Rotational,2569675,nodata,new detection,Gaia EDR3 2051294148851973888,Gaia EDR3 2051294148851973888,,,,rotating,field,MS,5.239416,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_121.png,https://drive.google.com/file/d/1htQneQ_DyHhneAQEtBbMbNS0g62wjt3v/view?usp=sharing,https://drive.google.com/file/d/1yj0XZAwRjlgw-7YE1nqRgxSEwSO5nmZ6/view?usp=sharing,19:20:47.80 +37:49:18.8,290.1991667,37.82188889,3.28,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.19916666666666%2037.821888888888886,2051294148851973888,0.1908609662,0.443275953,0.42302462,-2.288593856,0.504847,0.3564092849,0.42659575,-0.041116,20.252808,1.5668716,null,null,null,22.074,0.0084,20.819,0.0019,19.307,0.0018,21.2602,0.033289,20.2737,0.020562,19.8004,0.033818,19.6391,0.029946,19.5308,0.039686,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,5130.875,nan,nan,nan,,,,,,,nan,,,,1.75E-07,1.74E-06,1.76E-07,field,,0,,,,3star system,,
